Title,CompanyName,CategoryName
Technical Support Engineer,Wicresoft,Installation/Maintenance/Repair
Technical Support Engineer,Wicresoft,IT/Software Development
Technical Support Engineer,Wicresoft,Engineering - Telecom/Technology
Software Sales Representative/Manager,Airpoint,Business Development
Software Sales Representative/Manager,Airpoint,IT/Software Development
Software Sales Representative/Manager,Airpoint,Sales/Retail
Digital Marketing Manager,Fixed Solutions,IT/Software Development
Digital Marketing Manager,Fixed Solutions,Marketing/PR/Advertising
Sales Account Manager,RDI,IT/Software Development
Sales Account Manager,RDI,Operations/Management
Sales Account Manager,RDI,Sales/Retail
SAP SD Consultant,Alromansiah,Sales/Retail
Devops Engineer,eVision,IT/Software Development
Junior Backend Developer,Travolic.LLc,Creative/Design/Art
Junior Backend Developer,Travolic.LLc,IT/Software Development
Junior Backend Developer,Travolic.LLc,Engineering - Telecom/Technology
Technical Support Specialist,Zewail City,IT/Software Development
Student Information System (SIS) Specialist,Zewail City,Installation/Maintenance/Repair
Student Information System (SIS) Specialist,Zewail City,IT/Software Development
Senior Backend PHP Developer,BeConnected,IT/Software Development
Senior Backend PHP Developer,BeConnected,Engineering - Telecom/Technology
Software Senior Sales Representative,Simple Touch Software,Sales/Retail
Sales Account Manager - Fintech,Lumin,Customer Service/Support
Sales Account Manager - Fintech,Lumin,IT/Software Development
Sales Account Manager - Fintech,Lumin,Sales/Retail
Test Specialist,IBM WTC Egypt,Administration
Test Specialist,IBM WTC Egypt,IT/Software Development
Test Specialist,IBM WTC Egypt,Engineering - Telecom/Technology
Senior React Native Developer,Giza Arabia Systems,Creative/Design/Art
Senior React Native Developer,Giza Arabia Systems,IT/Software Development
Senior React Native Developer,Giza Arabia Systems,Engineering - Telecom/Technology
Senior Aris Developer,Giza Arabia Systems,Business Development
Senior Aris Developer,Giza Arabia Systems,IT/Software Development
Senior Aris Developer,Giza Arabia Systems,Engineering - Telecom/Technology
Presales Manager - Enterprise Business Solutions,Giza Arabia Systems,IT/Software Development
Presales Manager - Enterprise Business Solutions,Giza Arabia Systems,Sales/Retail
Presales Manager - Enterprise Business Solutions,Giza Arabia Systems,Engineering - Telecom/Technology
Computer Science & Computer Engineering Fresh Graduates,Confidential,IT/Software Development
Computer Science & Computer Engineering Fresh Graduates,Confidential,Engineering - Telecom/Technology
Junior Software Engineer,MegaSoft,IT/Software Development
Junior Software Engineer,MegaSoft,Engineering - Telecom/Technology
Senior Administrative Assistant,Poverty Action Lab,Administration
Senior Administrative Assistant,Poverty Action Lab,IT/Software Development
Senior Administrative Assistant,Poverty Action Lab,Engineering - Telecom/Technology
"Cash Management Accountant Suez, Egypt Posted on 10/22/2023",Cargoes,IT/Software Development
"Cash Management Accountant Suez, Egypt Posted on 10/22/2023",Cargoes,Purchasing/Procurement
"Cash Management Accountant Suez, Egypt Posted on 10/22/2023",Cargoes,Engineering - Telecom/Technology
Project Manager - Data Networks (ICT),SABA,IT/Software Development
Project Manager - Data Networks (ICT),SABA,Project/Program Management
Project Manager - Data Networks (ICT),SABA,Engineering - Telecom/Technology
Graphic Designer,Ejada,Creative/Design/Art
Graphic Designer,Ejada,IT/Software Development
Graphic Designer,Ejada,Marketing/PR/Advertising
Front End Team Lead,Sarmady,Creative/Design/Art
Front End Team Lead,Sarmady,IT/Software Development
Front End Team Lead,Sarmady,Engineering - Telecom/Technology
Senior Front-End Developer,Sarmady,Creative/Design/Art
Senior Front-End Developer,Sarmady,IT/Software Development
Senior Front-End Developer,Sarmady,Engineering - Telecom/Technology
Business Analyst - Supply Chain Business Control,Heineken,IT/Software Development
Business Analyst - Supply Chain Business Control,Heineken,Analyst/Research
Business Analyst - Supply Chain Business Control,Heineken,Engineering - Telecom/Technology
Senior Pega Developer,Giza Arabia Systems,Business Development
Senior Pega Developer,Giza Arabia Systems,IT/Software Development
Senior Pega Developer,Giza Arabia Systems,Engineering - Telecom/Technology
Senior Full Stack Developer (on-site),Union Coop,IT/Software Development
Senior Java Developer,Algoriza,IT/Software Development
Technical SME Engineer,Algoriza,IT/Software Development
Senior ERP Project Manager,Azdan Business Analytics,IT/Software Development
Senior ERP Project Manager,Azdan Business Analytics,Project/Program Management
Application Support Engineer,BI-Technologies,Customer Service/Support
Application Support Engineer,BI-Technologies,IT/Software Development
Application Support Engineer,BI-Technologies,Engineering - Telecom/Technology
Senior Full Stack Developer .Net + Angular,ICIS,IT/Software Development
Senior Full Stack Developer .Net + Angular,ICIS,Engineering - Telecom/Technology
Genesys Engineer,Perfect Presentation,IT/Software Development
IT Manager,Nacita,IT/Software Development
Product Manager,Trufla,IT/Software Development
Product Manager,Trufla,Project/Program Management
Product Manager,Trufla,Engineering - Telecom/Technology
Full Stack Developer,Confidential,Creative/Design/Art
Full Stack Developer,Confidential,IT/Software Development
Full Stack Developer,Confidential,Engineering - Telecom/Technology
Senior Oracle Technical Developer,Samcrete Engineers & contractors,IT/Software Development
Flutter Developer,Osolutions,IT/Software Development
Flutter Developer,Osolutions,Engineering - Telecom/Technology
Senior Flutter Developer,Victory Link,IT/Software Development
SAP HCM Consultant/ SF,Netcompay- Intrasoft,IT/Software Development
Front End Developer,Smart Cards application,IT/Software Development
Full-Stack Java Developer (Java &Angular),CrossWorkers,IT/Software Development
Senior Software Business Analyst,Trufla,IT/Software Development
Senior Software Business Analyst,Trufla,Engineering - Telecom/Technology
Senior Talend Architect,Sceel.io,Engineering - Construction/Civil/Architecture
Senior Talend Architect,Sceel.io,Creative/Design/Art
Senior Talend Architect,Sceel.io,IT/Software Development
Data Solution Architect,Sceel.io,Customer Service/Support
Data Solution Architect,Sceel.io,IT/Software Development
Data Solution Architect,Sceel.io,Engineering - Telecom/Technology
IT Responsible,Confidential,Installation/Maintenance/Repair
IT Responsible,Confidential,IT/Software Development
IT Responsible,Confidential,Engineering - Telecom/Technology
Data Management Consultant,Sceel.io,IT/Software Development
Data Management Consultant,Sceel.io,Operations/Management
Data Management Consultant,Sceel.io,Engineering - Telecom/Technology
UI UX Designer,CyberX,Creative/Design/Art
UI UX Designer,CyberX,IT/Software Development
Unity Game Developer 3D,CyberX,Creative/Design/Art
Unity Game Developer 3D,CyberX,IT/Software Development
Application Support Engineer,Perfect Presentation,IT/Software Development
Monitoring Assistant SC,World Food Program - Other locations,Administration
Monitoring Assistant SC,World Food Program - Other locations,IT/Software Development
Monitoring Assistant SC,World Food Program - Other locations,Engineering - Telecom/Technology
Scrum Master,Expert Apps,IT/Software Development
Scrum Master,Expert Apps,Project/Program Management
Senior Systems Engineer,FinBi Finance & Banking Consultants International,IT/Software Development
Business Developer,Our Education,Business Development
Business Developer,Our Education,Marketing/PR/Advertising
Business Developer,Our Education,Sales/Retail
Senior Technical Support,FinBi Finance & Banking Consultants International,IT/Software Development
Senior Network security engineer,FinBi Finance & Banking Consultants International,IT/Software Development
SaaS Product Manager,Bevatel,IT/Software Development
Finance Manager,Aswaq,Accounting/Finance
Finance Manager,Aswaq,Administration
Finance Manager,Aswaq,Banking
Full-Stack .NET Web Developer,Nahr Development,IT/Software Development
Full-Stack .NET Web Developer,Nahr Development,Engineering - Telecom/Technology
Senior Full Stack Developer,EGID company,IT/Software Development
Senior Full Stack Developer,EGID company,Engineering - Telecom/Technology
IT Support Engineer,Al-Meshka,IT/Software Development
Senior React Frontend Developer,Confidential,IT/Software Development
